City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
532,Hambantota,LK,79.79,broken clouds,6.1241,81.1185,Bungalow 63
533,Shimoda,JP,79.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
534,Odweyne,SO,77.63,broken clouds,9.4092,45.064,Eng Hiirey House
535,Corinto,GR,87.42,clear sky,37.9407,22.9573,Ephira Hotel
538,Russell,US,89.91,clear sky,32.3502,-85.1999,Macs
541,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
544,Bama,NG,87.37,broken clouds,11.5221,13.6856,UN Humanitarian Hub
548,Methala,IN,75.2,moderate rain,10.2166,76.2166,Style Homes Holiday Inn
551,Artyom,AZ,80.74,clear sky,40.4723,50.333,Pir hos
552,Cockburn Town,TC,81.57,clear sky,21.4612,-71.1419,Osprey Beach Hotel
554,Tigzirt,DZ,85.1,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
557,Road Town,VG,84.24,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
558,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
559,Great Bend,US,88.03,clear sky,38.3645,-98.7648,Best Western Angus Inn
560,Matagami,CA,82.51,clear sky,49.7502,-77.6328,Motel Le Caribou
565,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
572,Sabirabad,AZ,87.53,clear sky,40.0095,48.4752,Mugan Park Hotel
576,Suluq,LY,89.89,clear sky,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
578,Yueyang,CN,80.19,overcast clouds,29.3333,113.0919,Delong Fortune Hotel
586,Tual,ID,78.75,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
587,Asfi,MA,75.06,scattered clouds,32.2994,-9.2372,Hôtel Abda
590,Padang,ID,77.23,broken clouds,-0.9492,100.3543,Mercure Padang
592,Yala,TH,76.59,overcast clouds,6.3333,101.25,งานแต่ง Murnee - Wahid
593,Namatanai,PG,78.08,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
594,Vung Tau,VN,81.12,overcast clouds,10.346,107.0843,Seaside Resort
596,Pandan,PH,79.27,broken clouds,14.0453,124.1694,Bonifacio Lodge
599,Wanning,CN,82.72,overcast clouds,18.8003,110.3967,Paradise Hotel
601,Ibipeba,BR,78.71,broken clouds,-11.6408,-42.0111,Quitanda santos
613,Arkhangelskaya,RU,75.96,few clouds,45.6796,40.2754,"Baza Otdykha ""Dacha"""
614,Ixtapa,MX,86.23,scattered clouds,20.7,-105.2,hotel la terminal
617,Kattivakkam,IN,86.09,overcast clouds,13.2167,80.3167,Euronova Freezer
620,Ponta Do Sol,PT,77.0,clear sky,32.6667,-17.1,Hotel do Campo
621,Huron,US,77.68,overcast clouds,41.1501,-82.5499,Meadow Brook Mobile Estates
627,Bubaque,GW,79.3,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
633,Praia Da Vitoria,PT,80.85,few clouds,38.7333,-27.0667,Hotel Branco I
637,Mengcheng,CN,79.27,overcast clouds,33.2579,116.5655,Jinliang Hotel
638,Curuca,BR,84.54,broken clouds,-0.7289,-47.8481,Hotel Curuça
640,Tagusao,PH,76.19,light rain,9.1924,117.8141,Caycay future beach resort
641,Sampang,ID,78.82,broken clouds,-7.1872,113.2394,sekretariat IKA STAIN
