City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Goderich,CA,43.7501,-81.7165,74.91,78,79,9.22,broken clouds
258,Cabo San Lucas,MX,22.8909,-109.9124,91.62,63,20,10.36,few clouds
259,Isangel,VU,-19.55,169.2667,76.21,89,36,9.35,scattered clouds
260,Wawa,NG,9.9022,4.4192,78.84,79,59,4.72,light rain
261,Hami,CN,42.8,93.45,83.25,25,38,11.59,scattered clouds
262,Parabel,RU,58.6978,81.4825,59.2,68,100,10.98,overcast clouds
263,Hollola,FI,61.05,25.4333,61.07,76,100,2.06,overcast clouds
264,Altay,CN,47.8667,88.1167,61.25,73,76,5.17,broken clouds
265,Sept-Iles,CA,50.2001,-66.3821,64.92,93,100,8.05,overcast clouds
266,Sur,OM,22.5667,59.5289,85.96,80,69,4.79,broken clouds
267,Port Moresby,PG,-9.4431,147.1797,76.42,94,40,4.61,scattered clouds
268,Cap Malheureux,MU,-19.9842,57.6142,70.47,65,82,7.0,broken clouds
269,Kadhan,PK,24.481,68.9859,84.67,74,51,14.7,moderate rain
270,Luderitz,NA,-26.6481,15.1594,60.85,74,11,10.63,few clouds
271,Conceicao Do Araguaia,BR,-8.2578,-49.2647,96.06,20,5,7.02,clear sky
272,Paamiut,GL,61.994,-49.6678,44.69,85,90,2.39,overcast clouds
273,Kalmunai,LK,7.4167,81.8167,80.94,83,67,3.96,broken clouds
274,Apac,UG,1.9756,32.5386,70.32,70,80,5.46,broken clouds
275,Guhagar,IN,17.4842,73.1929,77.68,89,100,6.73,overcast clouds
276,Luganville,VU,-15.5333,167.1667,77.81,85,52,6.93,broken clouds
277,Kahului,US,20.8947,-156.47,77.85,86,0,10.0,clear sky
278,Abu Dhabi,AE,24.4667,54.3667,98.71,66,0,9.22,clear sky
279,Kununurra,AU,-15.7667,128.7333,60.78,82,0,4.61,clear sky
280,Grindavik,IS,63.8424,-22.4338,54.07,82,75,5.75,broken clouds
281,Coruripe,BR,-10.1256,-36.1756,78.91,72,13,12.17,few clouds
282,Turukhansk,RU,65.8167,87.9833,61.05,59,99,13.06,overcast clouds
283,San Cristobal,VE,7.7669,-72.225,77.18,55,90,8.86,overcast clouds
284,Ust-Nera,RU,64.5667,143.2,66.79,76,23,4.94,few clouds
285,Kirakira,SB,-10.4544,161.9205,78.49,85,56,7.09,broken clouds
286,Kamaishi,JP,39.2667,141.8833,72.05,87,82,2.42,broken clouds
287,Kieta,PG,-6.2167,155.6333,78.37,80,10,4.07,clear sky
288,Bethel,US,41.3712,-73.414,76.17,93,100,5.75,heavy intensity rain
289,San Jeronimo,PE,-11.9472,-75.2829,53.69,65,97,4.79,overcast clouds
290,Dargaville,NZ,-35.9333,173.8833,50.56,95,67,7.99,broken clouds
291,Adolfo Lopez Mateos,MX,28.4667,-107.3,82.92,32,44,9.33,scattered clouds
292,Maues,BR,-3.3836,-57.7186,95.25,35,74,5.14,broken clouds
293,Oranjemund,NA,-28.55,16.4333,57.69,85,36,8.14,scattered clouds
294,Svetlyy,RU,54.675,20.1347,64.45,83,99,12.3,light rain
295,Kamina,CD,-8.7386,24.9906,70.18,35,31,4.97,scattered clouds
296,Haines Junction,CA,60.7522,-137.5108,49.69,84,99,4.16,overcast clouds
297,Panguna,PG,-6.3164,155.4848,66.69,94,11,2.04,few clouds
298,Gornopravdinsk,RU,60.05,69.9,61.74,63,43,2.77,scattered clouds
299,Along,IN,28.1667,94.7667,76.05,99,100,1.36,moderate rain
